FactorB0,PoyntingFluxPerBSi,LperpTimesSqrtBSi
0.5987,5.476869E+05,2.590775E+05
0.6876,5.142482E+05,1.702405E+05
0.7334,4.371697E+05,2.424774E+05
0.801,3.788337E+05,1.478565E+05
0.9431,4.910825E+05,2.051508E+05
1.0077,3.497357E+05,2.300849E+05
1.0404,6.687720E+05,2.781630E+05
1.0921,4.636506E+05,2.997300E+05
1.2009,3.372154E+05,1.136827E+05
1.2292,5.837763E+05,1.609122E+05
1.2732,6.864116E+05,2.188020E+05
1.3016,3.045144E+05,2.830423E+05
1.3775,4.521527E+05,1.830306E+05
1.4126,5.584638E+05,1.025922E+05
1.4688,3.967346E+05,2.697467E+05
1.4971,6.439067E+05,1.935914E+05
1.5933,5.996813E+05,2.449056E+05
1.6432,5.293554E+05,1.441298E+05
1.7708,4.073733E+05,1.257499E+05
1.844,3.008000E+05,1.570530E+05
1.9713,3.246133E+05,2.527731E+05
2.0772,5.690884E+05,2.850666E+05
2.105,4.283478E+05,2.114324E+05
2.216,3.895754E+05,1.670364E+05
2.3297,4.469664E+05,2.763226E+05
2.3942,3.181091E+05,1.005331E+05
2.4414,3.437568E+05,2.950657E+05
2.4626,4.757240E+05,1.535563E+05
2.5409,3.749873E+05,2.394629E+05
2.6751,3.316973E+05,1.783741E+05